sample	alias	condition
SCT_2303510004_Y72M_mtMultiome	2303510004_Y72M	healthy
SCT_2304506004_Y71M_mtMultiome	2304506004_Y71M	healthy
SCT_2304513004_Y65F_mtMultiome	2304513004_Y65F	healthy
SCT_2306520006_Y70F_mtMultiome	2306520006_Y70F	healthy
SCT_2307511011_Y64F_mtMultiome	2307511011_Y64F	healthy
SCT_2308401001_Y23F_mtMultiome	2308401001_Y23F	healthy
SCT_2312507004_Y67M_mtMultiome	2312507004_Y67M	healthy
SCT_231270501C_Y26F_mtMultiome	231270501C_Y26F	healthy
